Nom,URL,Image,Nom Commercial,Code DCI,Forme,Dosage,Conditionnement,Type,Liste,Pays,Tarif de référence,PPA
LANZOMED 30 mg,https://www.pharmnet-dz.com/medic.aspx?id=6333,,LANZOMED,10A167,GLES.,Cliquez ici,30,Prod locale : Oui,DIARFAN 10 mg Racécadotril PDRE.SOL.BUV 16 Sachets,ALGERIE,420.00 DA,N/A
VIASART 160MG B/30 COMP. PELLI.,https://www.pharmnet-dz.com/medic.aspx?id=6332,,VIASART,06E166,COMP. PELLI.,Cliquez ici,30,Prod locale : Oui,AMLIBON 10MG COMP. B/30 ET B/90,ALGERIE,1380 DA,N/A
VIASART 80MG B/30 COMP. PELLI.,https://www.pharmnet-dz.com/medic.aspx?id=6330,,VIASART,06E147,COMP. PELLI.,Cliquez ici,30,Prod locale : Oui,AMLIBON 10MG COMP. B/30 ET B/90,ALGERIE,1380  DA,DA
NEOBIOL 100mg comprimé pelliculé,https://www.pharmnet-dz.com/medic.aspx?id=6329,,NEOBIOL,25E015,COMP. PELLI.,Cliquez ici,B/50,Prod locale : Oui,ERECTA 50MG   COMPRIME PELLICULE  B/10,ALGERIE,0 DA,N/A
PROSTADOZ® cp Pell B/30,https://www.pharmnet-dz.com/medic.aspx?id=6327,,PROSTADOZ®,25B023,COMP PELL SEC,Cliquez ici,B/30 Cps,Prod locale : Oui,ERECTA 50MG   COMPRIME PELLICULE  B/10,ALGERIE,1605.03 DA,1605.03 DA
PROSTADOZ® cp Pell B/30,https://www.pharmnet-dz.com/medic.aspx?id=6326,,DCI,,,,,,LANZOMED 30 mg,,,
PROSTADOZ® cp Pell B/30,https://www.pharmnet-dz.com/medic.aspx?id=6325,,DCI,,,,,,LANZOMED 30 mg,,,
"BETAMETHASONE novagenerics®  2 mg,  comprimé dispersible sécable boite de 20",https://www.pharmnet-dz.com/medic.aspx?id=6324,,BETAMETHASONE novagenerics®,09H133,COMP. DISPERS. SEC.,Cliquez ici,B/20 comp,Prod locale : Oui,FEXODINE 30 MG/ 5 ML SUSP BUV FL/125ML,ALGERIE,0 DA,320.00 DA
"ASPINOVA®  100 mg, comprimé  boite de 30 / boite de 90",https://www.pharmnet-dz.com/medic.aspx?id=6323,,ASPINOVA®,12A131,COMP.,Cliquez ici,B/30 - B/90 Cps,Prod locale : Oui,AMLIBON 10MG COMP. B/30 ET B/90,ALGERIE,"238,5 DA","260,87 DA"
,https://www.pharmnet-dz.com//medic.aspx?id=6253,,ABAVIR,13P491,COMP. PELLI.,Cliquez ici,B/1  PILULIER DE 60,Prod locale : Non,ABAVIR OS 20 MG/ML SOL BUV  B/1  FL DE 240 ML ET SEREINGUE FRADUEE DE 10 ML,INDE,--- DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=6252,,ABAVIR OS,13P490,SOL. BUV.,Cliquez ici,B/1  FL DE 240 ML ET SEREINGUE FRADUEE DE 10 ML,Prod locale : Non,ABAVIR  300 MG CP PELL B/1  PILULIER DE 60,INDE,--- DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=6146,,ABDIFLY,16D104,COMP.,Cliquez ici,B/28,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ALGERIE,5842 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=2288,,ABILIFY,16D103,COMP.,Cliquez ici,B/28,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ROYAUME UNI,5453 DA,6552.00 DA
,https://www.pharmnet-dz.com//medic.aspx?id=2290,,ABILIFY,16D104,COMP.,Cliquez ici,B/28,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ROYAUME UNI,5452.00  DA,-- DA
,https://www.pharmnet-dz.com//medic.aspx?id=4441,,ABILIFY,16D104,COMP.,Cliquez ici,B/28,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,TURQUIE,7020 DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=5898,,ABILIZOLE,16D171,COMP. ORODISPERS.,Cliquez ici,B/30,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ALGERIE,5630 DA,5630.16 DA
,https://www.pharmnet-dz.com//medic.aspx?id=2285,,ABILIZOLE,16D103,COMP.,Cliquez ici,B/30,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ALGERIE,5842.20 DA,5630.16 DA
,https://www.pharmnet-dz.com//medic.aspx?id=6015,,ABILIZOLE,16D171,COMP. ORODISPERS.,Cliquez ici,B/30,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ALGERIE,5630 DA,5842.27 DA
,https://www.pharmnet-dz.com//medic.aspx?id=2291,,ABILIZOLE,16D104,COMP.,Cliquez ici,B/30,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ALGERIE,5630 DA,"5,842.27 DA"
,https://www.pharmnet-dz.com//medic.aspx?id=6241,,ABILIZOLE,16D173,SOL. BUV.,Cliquez ici,B/ 01  SER PRE-REMP DE 1.5ML (150MG/1.5ML) ET 02 AIGUILLES,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ALGERIE,--- DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=6240,,ABILIZOLE,16D173,SOL. BUV.,Cliquez ici,FL/125 ML  SER PRE-REMP DE 1ML (100MG/ML) ET 02 AIGUILLES,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ALGERIE,--- DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=6239,,ABILIZOLE,16D173,SOL. BUV.,Cliquez ici,FL/125 ML B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,Prod locale : Non,XEPLION 100MG/ML SUSP INJ LP B/01  SER PRE-REMP DE 0.75 ML(75 MG/0.75ML) ET 02 AIGUILLES,ALGERIE,--- DA,DA
,https://www.pharmnet-dz.com//medic.aspx?id=3034,,ABUFENE,11F048,COMP.,Cliquez ici,B/30,Prod locale : Non,"DESIRETT 0,075MG COMP. PELL B/28",FRANCE,00 DA,359.40 DA
,https://www.pharmnet-dz.com//medic.aspx?id=4642,,ACARLYSE,14A136,COMP.,Cliquez ici,B/30,Prod locale : Oui,CALCIDOSE VITAMINE D 400UI/500MG/SACHET PDRE. ORALE  B/30 SACHETS,ALGERIE,410 DA,411.28 DA
,https://www.pharmnet-dz.com//medic.aspx?id=3226,,ACEBUTOLOL IVAL,06F067,COMP. PELLI.,Cliquez ici,B/30,Prod locale : Oui,AMLIBON 10MG COMP. B/30 ET B/90,ALGERIE,314.70 DA,314.70 DA
,https://www.pharmnet-dz.com//medic.aspx?id=3232,,ACEBUTOLOL IVAL,06F068,COMP. PELLI.,Cliquez ici,B/30,Prod locale : Oui,AMLIBON 10MG COMP. B/30 ET B/90,ALGERIE,582 DA,"582,00    DA"
,https://www.pharmnet-dz.com//medic.aspx?id=4112,,ACEPRAL,02D049,COMP. PELLI. LP,Cliquez ici,B/20,Prod locale : Oui,ATP NOVAGENERICS  30MG GLES.  B/30,ALGERIE,66.80 DA,66.00 DA
,https://www.pharmnet-dz.com//medic.aspx?id=4125,,ACEPRAL-L 1000MG,03A069,PDRE. SOL. BUV.,Cliquez ici,B/20 SACHETS,Prod locale : Oui,ATP NOVAGENERICS  30MG GLES.  B/30,ALGERIE,133.60 DA,"133,60    DA"
