Date,Heure,Température,Agent,Statut,Commentaire,Type
20/04/2026,11:24,4.3,Islem,OK,,Relevé Standard
20/04/2026,15:33,4.6,Imad (Responsable),OK,,Relevé Standard
21/04/2026,08:59,5.5,Ayoub,ALERTE,,Relevé Standard
21/04/2026,15:13,6.1,Ayoub,ALERTE,,Remplissage / Arrivage
21/04/2026,17:22,6.2,Imad (Responsable),ALERTE,,Relevé Standard
22/04/2026,09:43,5.4,Imad (Responsable),ALERTE,,Relevé Standard
22/04/2026,14:13,7.0,Ayoub,ALERTE,,Relevé Standard
22/04/2026,17:13,6.0,Ayoub,ALERTE,,Relevé Standard
23/04/2026,09:06,6.4,admin,ALERTE,,Relevé Standard
23/04/2026,14:50,6.6,Ayoub,ALERTE,,Relevé Standard
25/04/2026,10:32,7.1,Imad,ALERTE,,Relevé Standard
25/04/2026,15:17,6.9,Imad,OK,,Relevé Standard
